,标题,封面,地址,是否完结,内容
0,野猫与杂草【1-26话 全是中文】【ノラと雑草】【已完结】,http://mhua.zerobywswit.com/manhua/ye7ao7yu7za/1/01.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6346,完结,
1,邻座的佐藤同学【1-21话 2-21是生肉】【隣の席の佐藤さん／Tonari no Seki no Satou】【已完结】,http://mhua.zerobywswit.com/manhua/To7n7eka7to/15/01.png,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6343,完结,
2,爱丽丝与藏六【1-40话 全是中文】【アリスと蔵六】【已完结】,http://mhua.zerobywswit.com/manhua/aik4s4y4u/30-33/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6337,完结,
3,地球侵略少女Asuka【1-21话 12-21是生肉】【地球侵略少女アスカ】【已完结】,http://mhua.zerobywswit.com/manhua/A7su7k7a/12-14/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6334,完结,
4,未被斩首、不知其性【1-46话 39-46是生肉】【首を斬らねば分かるまい】【已完结】,http://mhua.zerobywswit.com/manhua/wei7an7sh7o/18/01.png,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6333,完结,
5,虫奉行【1-316话 全是中文】【常住戦陣！！ムシブギョー／Joujuu Senjin Mushibugyou／常住戰陣！蟲奉行】【已完结】,http://mhua.zerobywswit.com/manhua/Jouj5nj5gy5u/96/01.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6330,完结,
6,妙手小厨师II【1-13卷 5-13卷是生肉】【ミスター味っ子II／Mister Ajikko II】【已完结】,http://mhua.zerobywswit.com/manhua/Mis4tA4ji4kk/13/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6329,完结,
7,堕天的狗神 -SLASHDØG【1-12话 6-12是生肉】【堕天の狗神】【已完结】,http://mhua.zerobywswit.com/manhua/SL7AS7H7D/6/01.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6321,完结,
8,想成为她的你和我【1-50话 10-50是生肉】【カノジョになりたい君と僕／Kanojo ni Naritai Kimi to Boku】【已完结】,http://mhua.zerobywswit.com/manhua/Ka7na7r7it/50/02.png,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6318,完结,
9,天使综合症【1-13话 6-13是生肉】【エンジェリックシンドローム／angelic syndrome】【已完结】,http://mhua.zerobywswit.com/manhua/a6n6ynd6ro/1/03.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6306,完结,
10,两好三坏【1-2卷 全是中文】【ツースリー／兩好三壞】【已完结】,http://mhua.zerobywswit.com/manhua/er3ao3an3hu/2/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6305,完结,
11,天生妙厨【1-3卷 全是中文】【天生妙廚】【已完结】,http://mhua.zerobywswit.com/manhua/tia7ne7mi7ao/3/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6303,完结,
12,家有女友【1-276话 全是中文】【ドメスティックな彼女／Domestic na Kanojo】【已完结】,http://mhua.zerobywswit.com/manhua/Do7m7ea7n/9/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6302,完结,
13,紫电改的真纪【1-76话 19-76是生肉】【紫電改のマキ／Shidenkai no Maki】【已完结】,http://mhua.zerobywswit.com/manhua/Shi5de5ak5i/22-26/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6297,完结,
14,黑之创造召唤师―转生者的叛逆【1-26话 7-26是生肉】【黒の創造召喚師―転生者の叛逆／Kuro no Sozo Shokanshi Tenseisha no Hangyaku】【已完结】,http://mhua.zerobywswit.com/manhua/Kur6oz6o6ka/17-26/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6290,完结,
15,杀戮重生犬屋敷【1-10卷 全是中文】【いぬやしき／Inuyashiki】【已完结】,http://mhua.zerobywswit.com/manhua/In6ya6shi6ki/10/002.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6283,完结,
16,棋魂【1-23卷 全是中文】【ヒカルの碁／Hikaru no Go／棋灵王】【已完结】,http://mhua.zerobywswit.com/manhua/Hik0ar0no7o/23/001.png,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6282,完结,
17,性感娇妻玛利亚【1-4卷 全是中文】【已完结】,http://mhua.zerobywswit.com/manhua/xi7ga7nm7ali/1/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6281,完结,
18,绯红魔导书【1-25话 10-25是生肉】【赫のグリモア／赤之魔导书／緋紅魔導書】【已完结】,http://mhua.zerobywswit.com/manhua/m4ho4ns1uh/2/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6272,完结,
19,天才钓手.鱼绅【1-49话 15-49是生肉】【バーサス魚紳さん／天才釣手．魚紳】【已完结】,http://mhua.zerobywswit.com/manhua/tia5c5aid5ia/1/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6271,完结,
20,足球骑士【1-57卷 56-57卷是生肉】【エリアの騎士／Area Kishi／足球騎士】【已完结】,http://mhua.zerobywswit.com/manhua/Ar4ea4i5h/57/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6270,完结,
21,黑子的篮球Replace PLUS【1-10卷 全是中文】【黒子のバスケ Replace PLUS／影子篮球员】【已完结】,http://mhua.zerobywswit.com/manhua/Re5pl5a5LUS/10/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6268,完结,
22,双叶家的姐弟【1-41话 全是中文】【双葉さん家の姉弟／Futaba Sanchi no Kyodai】【已完结】,http://mhua.zerobywswit.com/manhua/Fut6hy6od6ai/1/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6267,完结,
23,我变成召唤兽【1-2卷 全是中文】【召喚獣になる／我變成召喚獸】【已完结】,http://mhua.zerobywswit.com/manhua/wo7nc7he7za/2/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6266,完结,
24,懒人的餐桌【1-3卷 全是中文】【花のズボラ飯／Hana no Zubora Meshi／懶人的餐桌】【已完结】,http://mhua.zerobywswit.com/manhua/Ha7bo7re7shi/3/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6265,完结,
25,七原罪【1-41卷 全是中文】【七つの大罪／Nanatsu no Taizai／七大罪】【已完结】,http://mhua.zerobywswit.com/manhua/Na3na3no3aiz/41/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6264,完结,
26,Dr.MART~瓦砾下的医师【1-11卷 10-11是生肉】【瓦礫の下のヒポクラテス／Dr. Dmat】【已完结】,http://mhua.zerobywswit.com/manhua/Dr2D2ma2t/11/001.png,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6263,完结,
27,魔王的可爱乖宝山田君【1-4卷 全是中文】【魔王のかわいいヤマダはよいこ】【已完结】,http://mhua.zerobywswit.com/manhua/mo6nd6ek6ea/4/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6262,完结,
28,刀剑神域 序列争战【1-5卷 第5卷是生肉】【オーディナル・スケール／Gekijoban Sodo Ato Onrain Odinaru Sukeru】【已完结】,http://mhua.zerobywswit.com/manhua/Gek2o2dot2o/5/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6261,完结,
29,黑社会的超能力女儿【1-19卷 19卷是生肉】【ヒナまつり／Hina Matsuri／極道超女】【已完结】,http://mhua.zerobywswit.com/manhua/Hi7na7ts7uri/19/001.jpg,./plugin.php?id=jameson_manhua&c=index&a=bofang&kuid=6259,完结,
